target,label,arm,rep
claude-haiku,W,A,1
claude-haiku,X,B,2
claude-haiku,Y,B,1
claude-haiku,Z,A,2
claude-sonnet,W,B,1
claude-sonnet,X,A,1
claude-sonnet,Y,A,2
claude-sonnet,Z,B,2
claude-opus,W,A,2
claude-opus,X,B,1
claude-opus,Y,B,2
claude-opus,Z,A,1
gpt-5.5,W,B,2
gpt-5.5,X,A,1
gpt-5.5,Y,B,1
gpt-5.5,Z,A,2
gpt-5.6-luna,W,B,2
gpt-5.6-luna,X,A,2
gpt-5.6-luna,Y,A,1
gpt-5.6-luna,Z,B,1
gpt-5.6-sol,W,A,1
gpt-5.6-sol,X,B,1
gpt-5.6-sol,Y,B,2
gpt-5.6-sol,Z,A,2
gpt-6-astra,W,A,1
gpt-6-astra,X,B,1
gpt-6-astra,Y,A,2
gpt-6-astra,Z,B,2
gemini-3.5-flash,W,B,1
gemini-3.5-flash,X,B,2
gemini-3.5-flash,Y,A,1
gemini-3.5-flash,Z,A,2
gemini-3.6-flash,W,A,2
gemini-3.6-flash,X,A,1
gemini-3.6-flash,Y,B,2
gemini-3.6-flash,Z,B,1
gemini-3.7-flash,W,B,2
gemini-3.7-flash,X,A,1
gemini-3.7-flash,Y,B,1
gemini-3.7-flash,Z,A,2
gemini-flash,W,B,1
gemini-flash,X,A,2
gemini-flash,Y,B,2
gemini-flash,Z,A,1
gemini-pro,W,A,2
gemini-pro,X,B,2
gemini-pro,Y,A,1
gemini-pro,Z,B,1
